Código,MP,Qntd,Comprimento,Conjunto
027783,110401 - ACO LAMINADO RED 2.3/4 1020,12,28,027781 - RODA DENTADA 14 DENTES - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028116,134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00,12,1750,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028123,134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00,9,1230,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028121,134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00,6,1450,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028122,134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00,6,800,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028118,134039 - TUBO QDRINOX AISI 304 40 X 3.00MM,6,1263,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028119,134039 - TUBO QDRINOX AISI 304 40 X 3.00MM,6,943,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028120,134039 - TUBO QDRINOX AISI 304 40 X 3.00MM,6,615,028126 - SUP SUPERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028130,"126914 - ACO CHATO INOX AISI 304 3/8 X 3/4""",12,3880,028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS
027084,134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00,9,1230,028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS
028127,134039 - TUBO QDRINOX AISI 304 40 X 3.00MM,18,340,028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS
027095,134042 - TUBO QDRINOX AISI 304 50 X 5.00MM,9,1224,028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS
027091,134040 - TUBO QDRINOX AISI 304 30 X 3.00MM,18,500,028762 - CONJUNTO NIVELADOR - ELEV MENOR / ELEV MAIOR / SING / EST HORIZ - SELECIONADORA DE FRUTAS
028495,"112847 - AÇO REDINOX 304 DE 5/8""",1272,32,028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028494,"112850 - AÇO RED INOX 304 DE 3/8""",636,48,028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028493,"112860 - AÇO RED INOX 304 DE 1/2""",636,83,028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028496,"134691 - TUBO AÇO INOX 304 - 21,34MM X 3,73MM",1272,25,028793 - ELO CORRENTE - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
027093,"112896 - ACO RED INOX 304 DE 2""",3,1400,028796 - FECHAM ANTERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS
028420,"112896 - ACO RED INOX 304 DE 2""",3,1520,028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS
027098,120010 - TARUGO NYLON 110 X 1000MM (NYLON 6.0),330,45,028866 - CONJUNTO TRANSMISSÃO - ELEV MENOR - SELECIONADORA DE FRUTAS
027096,134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50,165,1088,028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028510,"112849 - AÇO QDRINOX 304 DE 1/2""",12,75,028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS
028511,"124154 - AÇO TREFILADO QDR 5/16"" 1010/ 1020",3,70,622122 - ELEV MENOR DE ROLOS
