mp,conjunto,codigo,quantidade_alocada,tamanho_alocado_item,ordem_global,ordem_grupo,perda_materia_prima
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,1,1230.0,243,10,2740.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,237,4,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,236,3,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,235,2,40.0
"('134038 - TUBO QDRINOX ANSI 304 40 X 40 X 2.00',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27084,2,2460.0,234,1,40.0
"('134040 - TUBO QDRINOX AISI 304 30 X 3.00MM',)",028762 - CONJUNTO NIVELADOR - ELEV MENOR / ELEV MAIOR / SING / EST HORIZ - SELECIONADORA DE FRUTAS,27091,12,6000.0,248,1,0.0
"('134040 - TUBO QDRINOX AISI 304 30 X 3.00MM',)",028762 - CONJUNTO NIVELADOR - ELEV MENOR / ELEV MAIOR / SING / EST HORIZ - SELECIONADORA DE FRUTAS,27091,6,3000.0,249,2,3000.0
"('112896 - ACO RED INOX 304 DE 2""',)",028796 - FECHAM ANTERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,27093,1,1400.0,216,1,40.0
"('112896 - ACO RED INOX 304 DE 2""',)",028796 - FECHAM ANTERIOR - ELEV MENOR - SELECIONADORA DE FRUTAS,27093,2,2800.0,217,2,3200.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,4,4896.0,251,2,1104.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,1,1224.0,252,3,4776.0
"('134042 - TUBO QDRINOX AISI 304 50 X 5.00MM',)",028129 - ESTRUTURA SUPERIOR- SELECIONADORA DE FRUTAS,27095,4,4896.0,250,1,1104.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,254,2,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,282,30,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,253,1,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,257,5,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,256,4,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,255,3,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,259,7,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,284,32,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,260,8,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,265,13,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,285,33,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,258,6,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,262,10,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,283,31,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,263,11,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,264,12,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,261,9,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,278,26,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,280,28,560.0
"('134686 - TUBO AÇO INOX ANSI 304 - 101.60 X 1.50',)",028867 - ROLO - ELEV MENOR / ELEV MAIOR - SELECIONADORA DE FRUTAS,27096,5,5440.0,281,29,560.0
