ordem_global,ordem_grupo,conjunto,mp,codigo,quantidade_alocada,tamanho_alocado_item,perda_materia_prima
192,1,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110000 - ACO LAMINADO RED 3.1/2 1020',)",28374,101,5959.0,41.0
193,2,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110000 - ACO LAMINADO RED 3.1/2 1020',)",28374,31,1829.0,4171.0
194,1,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
195,2,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
196,3,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
197,4,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
198,5,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
199,6,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,5,5265.0,735.0
200,7,622307 - SINGULADOR V2 - SELECIONADORA DE FRUTAS,"('110280 - ACO LAMINADO RED 1.1/2 1045',)",28406,3,3159.0,2841.0
201,1,027647 - ROLO MENOR- SELECIONADORA DE FRUTAS,"('112834 - AÇO REDINOX 304 DE 5/16""',)",27624,9,3015.0,2985.0
202,1,028342 - ROLO MOVIDO - ESTEIRA DAS BAIAS - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28337,1,355.0,108.0
202,1,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,108.0
203,2,028342 - ROLO MOVIDO - ESTEIRA DAS BAIAS - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28337,1,355.0,108.0
203,2,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,108.0
204,3,028342 - ROLO MOVIDO - ESTEIRA DAS BAIAS - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28337,1,355.0,108.0
204,3,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,108.0
205,4,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
206,5,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
207,6,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
208,7,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
209,8,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
210,9,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
211,10,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
212,11,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
213,12,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
214,13,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
215,14,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
216,15,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
217,16,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
218,17,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
219,18,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
220,19,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
221,20,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
222,21,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
223,22,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
224,23,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
225,24,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
226,25,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
227,26,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
228,27,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
229,28,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,7,5537.0,463.0
230,29,028352 - MONTAGEM SUPORTE POSTERIOR - SINGULADOR - SELECIONADORA DE FRUTAS,"('112851 - AÇO RED INOX 304 DE 3/4""',)",28326,2,1582.0,4418.0
231,1,028165 - ROLO MAIOR- SELECIONADORA DE FRUTAS,"('112852 - AÇO RED INOX 304 DE 1""',)",28163,3,1584.0,4416.0
232,1,622130 - ESTEIRA DAS BAIAS- SELECIONADORA DE FRUTAS,"('112872 - ACO RED INOX 304 DE 7/8""',)",27493,6,180.0,5820.0
233,1,027647 - ROLO MENOR- SELECIONADORA DE FRUTAS,"('117006 - TARUGO NYLON REDDE 30mm.',)",27644,18,540.0,5460.0
234,1,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
235,2,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
236,3,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
237,4,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
238,5,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
239,6,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
240,7,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
241,8,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
242,9,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
243,10,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
244,11,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
245,12,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
246,13,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
247,14,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
248,15,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
249,16,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
250,17,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
251,18,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
252,19,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
253,20,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
254,21,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
255,22,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
256,23,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
257,24,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
258,25,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
259,26,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
260,27,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
261,28,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
262,29,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
263,30,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
264,31,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
265,32,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
266,33,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
267,34,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
268,35,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
269,36,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
270,37,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
271,38,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
272,39,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
273,40,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
274,41,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
275,42,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
276,43,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
277,44,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
278,45,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
279,46,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
280,47,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
281,48,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
282,49,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
283,50,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
284,51,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
285,52,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
286,53,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
287,54,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
288,55,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
289,56,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
290,57,028404 - MONTAGEM EIXO TECNYL- SELECIONADORA DE FRUTAS,"('117009 - TECNIL TARUGO 70MM',)",28402,35,5950.0,50.0
